palavra,count_l,count_b
presidente,929,231
nessa,42,31
eleição,190,28
ganha,43,17
primeiro,166,59
turno,62,17
vice,126,9
coletiva,132,9
imprensa,201,113
decisão,103,14
direito,280,41
candidato,513,35
afirma,44,5
querem,271,40
acabar,86,28
ministérios,3,35
mulheres,93,56
negros,32,4
direitos,236,80
humanos,63,66
cidadania,27,4
fazerem,4,2
política,412,82
domésticas,6,5
aprovou,14,9
cotas,13,5
sendo,125,110
amor,40,77
gente,925,16
últimas,9,10
pesquisas,51,31
vemos,8,10
única,90,7
coisa,218,7
fazer,713,92
acreditar,37,9
mesmos,17,14
chico,64,15
buarque,34,1
celso,33,9
amorim,37,4
falam,43,13
quinta,19,12
livre,254,45
acompanhe,210,13
vivo,303,31
cerimônia,11,16
entrega,14,18
doutor,61,6
causa,96,9
quanto,62,39
dias,186,77
nascer,9,3
neste,210,62
país,1709,216
infelizmente,14,32
parece,35,7
existe,87,24
legislação,10,10
resto,14,1
julgamento,67,2
registro,40,11
minutos,9,9
antes,155,43
fechamento,3,1
pauta,17,9
prazos,1,1
respeitados,10,4
aconteceu,53,3
povo,1329,132
trabalhador,140,9
pobres,205,15
orçamento,65,18
união,35,37
perseguição,63,3
fazendo,173,31
contra,557,232
conquistas,38,2
últimos,41,56
então,79,21
proibição,3,1
juiz,145,18
vereador,15,21
adiantou,2,1
nada,212,51
porque,637,55
dessa,76,26
menina,12,5
ninguém,207,29
tirar,118,18
políticos,56,45
líderes,23,11
sindicais,11,1
reino,6,7
unido,6,6
divulgam,3,2
apoio,64,112
partido,196,47
trabalhadores,248,22
defende,23,15
autonomia,12,11
liberdade,218,141
expressão,12,16
democracia,381,68
derrotar,34,2
façam,20,1
forma,43,39
limpa,5,6
urnas,44,8
propostas,52,25
responsabilidade,50,37
momento,157,60
brasileiras,32,9
aberto,6,6
assassinato,3,17
consciência,92,16
tranquilo,44,1
humor,10,4
quero,434,8
confiem,2,1
levem,3,2
vitória,79,49
pcdob,22,41
anunciam,4,1
aliança,18,6
brasil,1483,1214
último,63,11
universidade,280,12
apesar,16,13
maior,155,126
extensão,3,3
criada,5,6
palanque,7,2
criaram,19,1
casa,271,46
compromisso,86,36
nunca,309,48
campanha,241,55
suja,2,6
representa,50,17
comunicadores,1,1
porta,31,6
pedindo,36,4
votos,68,24
hora,107,15
aumentar,37,12
produção,39,43
agrícola,2,2
precisamos,103,19
nenhuma,74,7
árvore,2,1
conversou,6,1
prêmio,33,2
entrevista,311,117
mídia,51,89
independente,16,8
pernambuco,61,19
comércio,16,43
duas,56,19
mãos,16,16
comprar,64,10
vender,66,6
equilíbrio,4,1
integração,23,17
extremamente,4,12
importante,145,38
faça,37,6
brasileiro,410,125
inocente,37,4
golpe,237,12
parlamentar,21,22
petróleo,52,7
educação,408,108
retomar,37,1
indústria,85,27
naval,71,8
fizemos,168,7
destruíram,6,2
tudo,228,153
feito,82,22
dizem,55,21
roubar,12,8
vocação,2,1
tiro,8,2
sair,64,11
quiserem,36,1
urna,28,7
investimento,101,34
atender,14,17
interesses,25,20
mercado,83,67
estrangeiros,23,16
efetivamente,3,1
tentando,36,9
parcela,8,2
grande,297,287
possibilidade,21,20
desse,209,19
respeitado,64,1
auto,8,1
estima,8,1
sorte,15,12
encontrar,35,1
permitir,52,4
governar,159,10
estado,281,157
difícil,34,12
futebol,11,12
copa,20,4
mundo,378,115
acabamos,6,6
sofrer,8,2
eliminação,1,2
imposta,4,1
bélgica,10,1
competência,19,7
orgulho,142,12
universitário,27,2
universidades,122,9
nesse,219,23
advogado,78,6
explica,22,11
absurdos,4,6
acusações,28,3
possível,228,53
enfrentamos,6,2
fome,172,6
pobreza,32,2
sistema,30,62
social,137,50
sempre,199,201
precisou,12,1
transformado,3,1
perder,52,9
reforma,101,21
previdência,81,46
jeito,86,21
inserir,3,1
economia,178,169
emprego,170,41
financiamento,13,4
crédito,34,10
senão,12,2
crescimento,31,63
econômico,20,25
trabalhar,75,10
instantes,37,3
discurso,106,39
recebimento,1,3
novos,33,69
filiados,2,1
distrito,8,10
federal,246,114
acreditamos,15,6
violência,65,65
trabalho,140,140
vamos,481,195
crise,103,17
jornais,26,15
seca,41,3
construímos,17,1
milhão,25,17
vencer,46,10
praça,86,6
curitiba,331,10
apoiadores,11,6
inteiro,35,3
governo,653,382
levando,15,5
passado,32,45
fizeram,124,10
carnaval,7,3
dinheiro,144,85
ouro,34,6
pediram,5,1
desculpas,63,5
dona,59,2
terem,22,1
encontrado,4,2
desgraça,28,1
tentar,47,18
pintar,2,1
real,39,15
historicamente,4,3
desigualdade,20,6
missão,12,50
sociedade,135,57
confiou,2,1
aprender,29,5
disputar,45,1
voto,120,75
plantamos,1,1
paciência,10,1
político,182,21
enquanto,106,44
obama,10,3
dizia,35,1
cara,91,17
feliz,121,38
teixeira,9,2
após,184,113
qualquer,116,77
ação,37,37
imparcial,12,1
mostramos,8,5
perdeu,26,10
pobre,359,8
tratado,41,6
terceira,9,5
categoria,9,3
ideal,10,5
apenas,127,75
alianças,7,3
compõe,1,1
nenhum,150,19
pensa,19,3
diferente,32,27
luiz,113,10
henrique,12,5
coordenação,7,3
vivia,13,1
lixo,15,9
vergonha,56,9
capacidade,43,12
resistência,76,6
governador,190,17
tratar,21,5
cidadão,80,55
zona,38,2
leste,19,2
merece,28,20
lembra,93,3
desmatamento,4,2
amazônia,26,34
caindo,4,9
fernando,279,9
conversa,40,33
jornalistas,22,10
passar,62,16
história,261,59
homenagem,50,43
proposta,38,21
maria,47,29
alencar,26,7
república,126,45
governando,14,2
meia,15,5
dúzia,10,1
pessoas,476,84
tributária,9,6
plano,72,48
isentar,5,1
imposto,43,25
renda,65,30
físicas,3,3
todos,467,583
ganham,6,11
cinco,46,5
salários,27,7
mínimos,17,1
saco,5,3
comece,4,1
manhã,41,21
outra,87,12
depende,10,7
desenvolvimento,98,81
ciência,23,31
tecnologia,26,40
caravana,240,2
caminho,72,58
jogar,28,7
costas,16,4
problemas,35,28
come,10,1
produzido,4,3
pequena,12,7
propriedade,11,24
rural,34,11
importância,73,30
fortalecer,19,6
pequeno,29,18
produtor,13,7
santo,36,16
final,39,42
pedir,93,3
agradecer,65,7
companheiros,58,5
comigo,98,15
levante,4,1
popular,67,8
beijo,8,2
coração,71,23
carrego,2,1
alma,25,6
sindicato,58,3
responsável,17,13
multidão,35,2
aparecida,9,1
norte,64,43
domingo,80,36
perseguido,15,2
crime,124,66
cometeu,20,2
convida,8,2
ruas,84,29
deixou,43,7
problema,143,31
virou,31,4
solução,51,15
estrada,49,2
participa,100,4
bemvindo,2,3
direto,89,4
teatro,15,4
tanto,102,26
cuidar,60,1
deste,117,45
prefeito,95,7
diga,14,6
regulação,11,4
deveria,68,17
empresário,37,6
comunicação,59,12
certo,47,49
famílias,57,24
ditadura,36,41
tortura,5,12
instituto,86,9
histórico,29,15
transformação,14,3
milhões,285,115
micro,7,4
pequenos,21,8
empreendedores,2,1
salário,112,12
mínimo,56,10
aumentou,25,7
durante,300,32
cultural,12,9
mostra,22,29
intenção,8,15
fatos,20,47
criado,21,10
pronaf,12,3
programa,100,118
voltado,3,1
expandido,1,2
chegando,30,16
linhas,5,7
semiárido,14,2
alimentos,21,6
lutar,91,8
realizar,12,8
sonho,55,3
poder,125,95
estudar,67,1
tomar,51,6
semana,51,126
ministro,71,156
temer,181,15
continuidade,5,12
agenda,18,37
maldades,3,1
razão,36,10
andar,86,7
cabeça,140,4
baixa,13,9
aprendi,50,2
erguida,51,1
martins,19,7
concede,21,3
saída,22,7
polícia,103,51
precisa,245,31
promover,10,10
dizer,216,18
pessoal,31,16
diante,27,24
brasileiros,149,126
perderam,12,11
perspectiva,9,1
assista,193,74
íntegra,91,15
nova,110,100
prisão,246,23
jornalista,34,26
esforço,11,3
cada,198,106
tornar,19,18
candidatura,136,9
fato,31,24
agosto,28,24
sido,64,11
primeira,168,37
região,87,72
construção,29,21
minas,81,29
quer,243,68
democrática,25,7
espero,42,10
corte,54,7
justiça,194,49
benefício,12,10
julgado,30,1
mérito,17,3
processo,190,35
juntos,83,97
capazes,9,2
reconstruir,18,2
caetano,19,1
veloso,7,2
posse,27,28
vídeo,34,59
emissora,6,2
reconheceu,9,1
militar,35,97
pediu,30,3
quase,87,41
conhecem,13,1
preconceito,37,20
editorial,5,4
falar,189,20
bahia,84,14
nota,73,15
pesar,9,9
morte,22,16
garcia,7,3
câncer,6,12
conheço,11,2
diplomata,5,1
estrangeiras,7,4
ganhar,120,7
título,92,7
defesa,266,84
preciso,130,18
parar,43,11
cortar,16,1
estatais,3,17
sabe,195,27
legado,51,9
acho,85,7
sabemos,33,23
alguém,109,19
elite,128,2
chega,81,26
militância,46,2
postos,13,11
caxias,28,3
noção,27,2
acontecendo,63,6
cometer,5,4
erros,20,6
contar,28,4
utilizar,4,5
depoimento,65,3
delator,10,1
informal,1,1
justificar,13,1
condenação,27,7
escolher,31,6
pedaço,4,1
pará,36,20
geração,35,26
criou,43,5
carteira,23,10
assinada,15,13
variação,2,2
comparação,5,14
caminhada,162,7
goiânia,9,9
possivelmente,5,2
movimento,57,19
sindical,31,7
conta,104,43
defender,94,18
soberania,106,36
começou,76,5
ferraz,4,1
vasconcelos,4,1
estará,31,9
número,42,31
porto,61,36
alegre,40,6
clara,1,4
explicação,19,3
marinho,32,8
recursos,27,78
federais,42,31
prefeituras,6,2
paulista,31,13
disse,127,17
guerra,37,30
vencemos,4,2
agradar,3,2
consertar,52,1
nesta,135,55
terçafeira,22,9
faltam,20,6
garantir,52,17
futuro,127,97
limites,4,7
quiser,64,9
soberano,19,3
sabem,177,11
sofrimento,13,1
venho,11,1
nordeste,140,78
ignorante,9,3
tarcísio,7,11
companheiro,69,3
peço,28,31
querido,22,3
amigo,40,15
carinho,71,57
gostaria,25,15
estar,120,36
cuidando,6,1
criamos,75,1
consumidores,6,6
mudar,71,74
financia,3,2
estudante,16,4
gasto,45,3
desses,10,18
grandes,31,33
homens,23,20
estarão,9,6
podemos,89,31
passou,69,8
época,24,8
pais,19,18
congresso,121,69
nacional,243,142
fotografia,3,2
pior,22,17
advogados,76,4
desrespeito,6,6
chamar,22,7
deixar,96,10
ódio,151,25
culpa,45,11
fogo,10,29
morador,9,5
senador,53,18
levar,62,13
força,76,37
luta,225,24
melhorar,78,7
junto,77,41
tucano,17,2
corruptos,5,14
coragem,96,3
serra,15,4
foto,36,32
dizendo,65,3
encontro,125,23
nora,1,1
grupo,26,29
mães,18,8
maio,26,17
decidimos,18,2
lançar,6,4
apoiar,6,7
todas,125,42
forças,26,37
reúnem,7,1
torno,12,7
recebia,2,1
oferecido,1,1
câmara,44,82
portuguesa,3,2
dois,100,34
havia,20,3
homenageado,5,1
francesa,4,1
reconhecimento,22,7
cooperação,8,16
países,58,75
vagas,23,16
oferta,2,9
ensino,63,40
superior,41,11
sergipe,40,5
chegou,80,10
presidência,210,44
debate,82,28
votar,130,12
amanhã,86,31
pudesse,26,5
estaria,13,5
eduardo,37,36
suplicy,20,1
deputado,55,85
revelam,2,3
dono,39,1
reuniu,18,2
livros,16,9
teses,1,1
governos,86,50
biblioteca,1,1
pretende,5,5
resgatar,18,26
reunindo,1,1
vasto,1,1
disponível,6,9
diretas,15,1
escolhe,6,1
reunida,4,1
frente,94,45
respeitar,26,4
certeza,77,20
ganho,5,2
eleições,167,68
largo,10,1
lotado,7,3
receber,62,25
pimentel,18,3
sentiu,3,2
pele,5,7
ambiente,14,44
leia,89,5
carta,139,11
aceitável,1,2
silêncio,8,8
instituições,34,32
prejudicar,13,6
plebiscito,6,1
votei,2,7
ontem,99,50
salvador,42,4
tentaram,24,5
esconder,8,2
graves,8,1
lava,170,20
jato,162,17
escondeu,1,2
provas,122,3
inocência,84,9
ajudar,46,10
farsa,17,9
cima,39,8
atos,34,20
humanidade,13,1
rico,55,3
desenvolvido,7,5
qualidade,46,20
impossível,12,3
histórica,26,18
contato,7,3
terra,64,12
especialista,6,2
daqui,117,24
votação,19,13
expressiva,3,1
outubro,46,34
acabou,45,8
encerrar,4,2
gerais,53,18
vendo,37,2
televisão,34,2
impedir,69,13
nordestino,57,7
mora,11,2
podia,53,1
visitar,88,4
família,149,118
avião,45,6
somente,30,47
ônibus,42,12
negro,30,1
índio,9,3
ingressar,1,1
própria,16,18
comer,64,1
três,75,10
vezes,108,25
elétrica,12,5
acessível,2,1
empregadas,4,3
amplia,2,4
vantagem,7,2
internacional,111,27
maioria,38,33
ocupação,24,2
vítima,33,16
desemprego,49,20
santana,24,1
veio,24,5
olhar,33,2
olhos,23,10
percam,8,1
esperança,134,22
pegar,28,6
dentro,45,35
sala,8,5
cirurgia,6,11
tamanho,15,3
muita,156,20
honesta,10,2
máximo,7,7
igual,38,13
vila,27,8
hospital,11,23
leitos,1,2
grana,5,1
continente,17,5
corações,6,5
unidos,32,48
julgar,28,2
base,35,27
manter,32,14
pessoa,134,36
presa,5,3
perguntando,9,2
saiu,41,4
caixa,25,17
favor,48,41
respeito,122,61
opiniões,1,7
lado,121,62
précandidato,6,4
opõe,1,1
extrema,11,9
direita,23,45
pouco,127,92
petrolina,15,2
setembro,7,45
janeiro,144,87
carro,41,4
desde,137,91
outras,34,36
cidades,53,12
calar,21,8
toca,3,2
iguaçu,18,1
pleno,6,6
cidadã,3,4
situação,65,25
levaram,13,1
cabral,6,1
rainha,4,3
agostinho,1,1
neto,7,3
gonzales,1,1
luiza,1,2
barros,4,5
obrigação,24,10
moral,14,9
parceiros,2,6
instagram,7,14
votem,8,2
verdade,151,151
nação,52,44
deixando,6,3
campo,92,37
filme,12,7
chamado,25,8
horas,53,19
volta,129,36
amiga,7,2
filha,36,14
vale,58,40
delação,36,3
palocci,14,1
defenderam,2,1
começaram,16,3
mapa,28,2
disseram,21,2
podem,118,37
coisas,107,7
recuperar,71,5
ataquem,1,2
mesma,50,21
atacam,5,6
favela,6,1
quarto,2,6
tempo,157,46
estarei,23,36
derrubar,17,11
dando,36,20
venha,11,2
conhecer,52,11
abreu,2,2
campos,24,6
ibge,2,9
trouxe,18,3
dado,21,7
taxa,7,24
jovens,83,33
dobro,6,2
geral,20,31
população,121,103
meta,11,9
enterrar,4,1
projeto,92,91
mario,3,1
rádio,120,16
josé,54,25
credibilidade,36,10
incluir,24,3
freitas,13,3
massacre,6,4
vence,7,1
silva,81,13
sabiam,18,1
filho,123,36
fundamental,8,18
seguir,21,8
regra,8,5
seguimos,6,55
condições,55,27
faremos,9,23
ouça,54,1
trecho,14,22
toda,111,36
divergências,6,2
esquerda,51,164
significa,37,6
levantar,15,3
petrobras,95,15
gabinete,2,17
embaixada,2,6
fundo,25,22
faculdade,32,7
queremos,160,38
rede,49,39
solidariedade,97,15
passando,27,4
principalmente,10,26
contexto,4,6
suportam,11,1
voltou,29,2
corda,2,3
incomoda,30,5
brasileira,182,76
chegar,87,17
aeroporto,14,40
camada,3,1
moro,293,20
divulgou,8,3
devem,21,19
publicar,5,8
mentira,107,34
organização,26,11
criminosa,8,9
chefe,16,24
próprios,1,7
filhos,99,42
nogueira,2,2
cansado,6,2
ouvir,53,8
procurador,21,2
falando,58,11
prova,112,9
fico,46,6
triste,30,1
baixo,29,12
grito,12,2
cerca,11,49
tomaram,6,1
centro,62,36
aracaju,10,3
guararapes,2,1
vermelha,10,5
acaba,34,14
ovacionado,1,2
público,98,41
local,30,17
início,25,50
ernesto,7,9
denunciado,2,2
caráter,33,14
preso,185,26
meses,75,60
itaqui,10,1
investe,10,1
otoni,11,1
gera,19,10
empregos,96,93
profissionais,5,22
qualificados,1,3
completou,8,1
sete,23,4
custou,10,2
impedimento,9,4
ignorância,5,3
falta,70,31
palavras,20,37
representam,4,4
pensamento,6,7
jornada,33,1
abril,25,16
descarado,1,2
moleque,4,20
passa,36,24
serem,9,16
dignidade,94,7
alta,16,23
agricultura,39,29
familiar,40,13
recebido,29,11
energia,38,50
gaúcha,2,1
complexo,35,3
saiba,55,35
conseguimos,44,2
sede,48,4
considera,6,3
acima,29,86
jamais,58,33
deixará,5,2
sabatina,21,3
permanente,4,1
posso,82,5
oferecer,10,2
parecer,6,2
mesmas,15,2
eleger,103,7
moradores,27,6
acompanham,8,1
carros,5,7
motos,2,1
carreata,7,2
basta,32,8
apelo,4,5
atenção,18,18
deputados,58,44
césar,7,2
artistas,61,8
comprometido,9,1
cumprir,32,9
constituição,54,25
graça,10,4
pagar,66,12
poderia,65,13
precisam,67,8
adversário,20,2
globo,157,83
comando,5,23
meios,38,12
comunicações,5,2
grato,8,67
conduzir,2,5
argentina,38,22
direção,16,29
resolver,58,4
agradeço,22,91
demonstrou,2,1
visitando,7,6
deus,58,146
abençoe,4,17
argentino,8,2
manuela,35,1
marcia,6,1
visitam,10,4
rocinha,4,3
seguem,8,20
recife,44,5
onde,208,81
fazem,40,31
cidade,195,19
noite,52,112
sábado,37,14
inédita,9,5
notícias,23,20
falsas,16,11
ofensivas,1,1
internet,15,62
agricultores,26,2
dívidas,7,5
juros,16,16
abusivos,1,1
palavra,34,28
chamando,7,5
empreendedorismo,1,4
acham,52,3
empreendedor,2,5
capitalismo,3,4
acha,35,10
crescendo,11,17
cresce,19,15
único,49,22
crescer,89,28
começar,35,3
cobra,8,4
perícia,2,1
documentos,8,5
assunção,5,2
confiança,32,84
extraordinária,16,1
patrimônio,31,9
perguntar,12,1
presidentes,9,9
favorita,2,1
almoço,18,1
acampamento,47,1
medo,125,14
angra,5,8
petrobrás,22,12
desembargador,8,2
começa,87,7
guerreiro,6,4
entregando,17,1
capital,31,6
estrangeiro,6,4
comitê,43,6
lança,13,9
caderno,1,1
logo,31,40
gostem,2,1
admitir,8,2
experiência,12,8
distribuição,18,5
integral,2,7
escolas,67,50
recebe,103,18
cumprimentar,8,2
querida,9,2
símbolo,13,3
juventude,55,6
reconhecidos,3,3
tribunais,12,2
centenas,9,7
candidatos,38,12
mandato,41,16
puder,10,2
alimentar,7,5
realizado,14,12
saudade,15,1
salvou,3,4
cheio,12,3
esperta,1,1
existia,10,4
queria,145,4
colocamos,23,1
menos,97,106
sentimento,10,13
anti,2,1
fazemos,8,6
resgatando,3,6
memória,17,3
razões,11,3
alegria,34,5
acesse,24,7
veja,77,60
consegue,27,6
muitos,54,57
pedidos,6,5
abraços,9,3
última,50,27
orquestra,2,1
abre,12,6
programação,17,4
breve,17,35
principal,16,13
cena,8,2
carioca,2,5
mudou,48,3
visão,7,5
incompetente,1,1
obrigado,60,348
olha,26,1
brasília,93,54
incentivo,6,8
conseguir,37,6
medalhas,5,2
completamente,4,6
cedo,10,8
pois,35,30
resolvemos,14,1
museu,13,2
guimarães,13,6
rosa,6,5
diversas,8,13
criadas,9,5
pede,39,18
saidinha,1,2
prender,52,2
soltar,6,5
permite,10,19
humberto,6,2
costa,41,14
tema,15,14
saúde,83,71
programas,36,8
criados,15,7
independência,20,22
financeira,4,7
central,22,9
invadir,5,2
hotel,8,3
metade,28,4
gasolina,13,4
pneus,1,1
atacar,9,5
bandeira,18,11
errado,36,8
respeitada,7,4
disposto,17,2
continuar,82,18
alguns,43,85
perto,23,18
erro,32,5
boulos,11,1
citando,5,2
frase,5,2
conquista,21,9
óleo,14,13
preparando,12,1
necessário,22,12
aprendendo,5,2
ganhamos,13,1
novo,143,77
motivo,25,15
vexame,2,1
maiores,39,48
juristas,25,1
condenam,3,1
digo,25,5
passei,18,1
estados,49,66
festa,13,12
resultado,46,38
revogação,2,4
trabalhista,23,1
diretamente,5,11
conviver,24,5
democraticamente,33,3
interior,27,11
piauí,54,6
acredita,24,7
petição,12,1
folha,31,46
exercício,6,2
regular,8,2
função,9,8
parceria,8,17
moradias,1,10
enche,2,1
acompanhar,10,6
renomados,7,1
leiloadas,3,1
quarta,11,4
paraíba,60,17
joão,53,32
partir,58,22
passamos,12,2
engenheiro,17,3
suficiente,9,2
estimular,3,5
franca,7,1
manaus,23,9
prática,19,18
cenário,19,9
especulação,5,1
nações,9,18
explicar,26,1
denúncia,42,2
abusos,12,3
resgata,2,3
período,40,66
realidade,31,20
atual,40,36
crítica,2,5
classe,61,6
caso,36,84
pensando,26,3
opinião,32,18
pública,78,82
relação,64,65
amizade,16,13
entrar,46,4
além,35,80
questão,46,26
sobrevivência,2,2
maluco,2,2
financeiro,8,5
papel,58,22
combate,42,82
criminalidade,5,15
cultura,60,32
espírito,14,14
acredito,37,18
saber,122,10
longo,16,13
sentença,45,1
afronta,5,1
revertida,2,2
certos,6,2
água,65,21
tiros,4,5
policial,6,24
atingidos,5,2
ferido,3,2
power,13,2
point,13,1
apareceu,10,2
audiências,1,3
fraterno,2,1
eleitoral,85,15
coligação,16,1
desta,45,37
compartilhe,32,2
participou,14,4
entidade,10,1
sagrada,2,6
humano,27,4
convenção,28,8
impeachment,31,27
grosso,17,15
